Date : 2023-11-28 14:41:37
Directory : d:\Proyectos Laravel\iglesia-microservicio-php
Total : 134 files,  16354 codes, 1529 comments, 949 blanks, all 18832 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| app\Mail                                                                                                                     |          1 |         31 |         21 |          8 |         60 |
| app\Models                                                                                                                   |          6 |        116 |         39 |         35 |        190 |
| app\Providers                                                                                                                |          5 |         87 |         62 |         30 |        179 |
| app\Traits                                                                                                                   |          1 |         19 |         16 |          4 |         39 |
| app\View                                                                                                                     |          2 |         20 |         10 |          8 |         38 |
| app\View\Components                                                                                                          |          2 |         20 |         10 |          8 |         38 |
| bootstrap                                                                                                                    |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                                       |         17 |        569 |        747 |        247 |      1,563 |
| database                                                                                                                     |          6 |        232 |         64 |         40 |        336 |
| database\factories                                                                                                           |          1 |         23 |         13 |          5 |         41 |
| database\migrations                                                                                                          |          4 |        100 |         40 |         16 |        156 |
| database\seeders                                                                                                             |          1 |        109 |         11 |         19 |        139 |
| lang                                                                                                                         |         10 |        543 |         60 |         39 |        642 |
| lang (Files)                                                                                                                 |          1 |         71 |          0 |          0 |         71 |
| lang\en                                                                                                                      |          4 |        154 |         60 |         24 |        238 |
| lang\es                                                                                                                      |          5 |        318 |          0 |         15 |        333 |
| public                                                                                                                       |          7 |        287 |         78 |         32 |        397 |
| public (Files)                                                                                                               |          3 |         40 |         38 |         14 |         92 |
| public\css                                                                                                                   |          2 |        241 |         12 |         18 |        271 |
| public\css (Files)                                                                                                           |          1 |         72 |          4 |         11 |         87 |
| public\css\card                                                                                                              |          1 |        169 |          8 |          7 |        184 |
| public\js                                                                                                                    |          2 |          6 |         28 |          0 |         34 |
| public\js\card                                                                                                               |          2 |          6 |         28 |          0 |         34 |
| resources                                                                                                                    |         19 |        414 |         22 |         85 |        521 |
| resources\css                                                                                                                |          1 |          3 |          0 |          1 |          4 |
| resources\js                                                                                                                 |          2 |          9 |         22 |         12 |         43 |
| resources\views                                                                                                              |         16 |        402 |          0 |         72 |        474 |
| resources\views (Files)                                                                                                      |          2 |        128 |          0 |         22 |        150 |
| resources\views\components                                                                                                   |         11 |         98 |          0 |         26 |        124 |
| resources\views\layouts                                                                                                      |          3 |        176 |          0 |         24 |        200 |
| routes                                                                                                                       |          5 |        118 |         42 |         38 |        198 |
| tests                                                                                                                        |          9 |        231 |         16 |         90 |        337 |
| tests (Files)                                                                                                                |          2 |         19 |          5 |         10 |         34 |
| tests\Feature                                                                                                                |          6 |        202 |          6 |         76 |        284 |
| tests\Feature (Files)                                                                                                        |          1 |         11 |          6 |          5 |         22 |
| tests\Feature\Auth                                                                                                           |          5 |        191 |          0 |         71 |        262 |
| tests\Unit                                                                                                                   |          1 |         10 |          5 |          4 |         19 |
| vendor                                                                                                                       |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie                                                                                                                |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition                                                                                                       |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources                                                                                             |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources\compiled                                                                                    |          2 |          7 |          2 |          1 |         10 |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                     | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Proyectos Laravel\iglesia-microservicio-php\README.md                                                                     | Markdown   |         44 |          0 |         21 |         65 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Console\Kernel.php                                                        | PHP        |         15 |         12 |          6 |         33 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Enums\Removed.php                                                         | PHP        |          8 |          5 |          4 |         17 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Enums\Role.php                                                            | PHP        |          8 |          5 |          4 |         17 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Enums\State.php                                                           | PHP        |          9 |          5 |          4 |         18 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Enums\Working.php                                                         | PHP        |          8 |          5 |          4 |         17 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Exceptions\Handler.php                                                    | PHP        |         33 |         29 |          8 |         70 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Api\ActividadController.php                              | PHP        |         68 |         15 |         15 |         98 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Api\AsistenciaController.php                             | PHP        |         72 |          2 |         19 |         93 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Api\IngresoController.php                                | PHP        |         60 |         15 |         13 |         88 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Api\MiembroController.php                                | PHP        |        102 |          0 |         10 |        112 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Api\RecaudacionController.php                            | PHP        |         75 |          2 |         22 |         99 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Api\UsuarioController.php                                | PHP        |        101 |          0 |         12 |        113 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Auth\AuthenticatedSessionController.php                  | PHP        |         27 |         17 |         11 |         55 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Auth\ConfirmablePasswordController.php                   | PHP        |         27 |         11 |          7 |         45 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Auth\EmailVerificationNotificationController.php         | PHP        |         16 |          6 |          6 |         28 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Auth\EmailVerificationPromptController.php               | PHP        |         14 |          6 |          4 |         24 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Auth\NewPasswordController.php                           | PHP        |         38 |         20 |          8 |         66 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Auth\PasswordResetLinkController.php                     | PHP        |         25 |         16 |          7 |         48 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Auth\RegisteredUserController.php                        | PHP        |         39 |         13 |          8 |         60 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Auth\VerifyEmailController.php                           | PHP        |         19 |          6 |          6 |         31 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Controller.php                                           | PHP        |         10 |          0 |          4 |         14 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Kernel.php                                                           | PHP        |         41 |         21 |          7 |         69 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Middleware\Authenticate.php                                          | PHP        |         12 |          6 |          4 |         22 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Middleware\EncryptCookies.php                                        | PHP        |          8 |          6 |          4 |         18 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Middleware\PreventRequestsDuringMaintenance.php                      | PHP        |          8 |          6 |          4 |         18 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Middleware\RedirectIfAuthenticated.php                               | PHP        |         19 |          8 |          6 |         33 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Middleware\Suscribido.php                                            | PHP        |         11 |          7 |          4 |         22 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Middleware\TrimStrings.php                                           | PHP        |         11 |          5 |          4 |         20 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Middleware\TrustHosts.php                                            | PHP        |         12 |          5 |          4 |         21 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Middleware\TrustProxies.php                                          | PHP        |         14 |         10 |          5 |         29 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Middleware\ValidateSignature.php                                     | PHP        |          8 |         11 |          4 |         23 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Middleware\VerifyCsrfToken.php                                       | PHP        |          8 |          6 |          4 |         18 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Requests\Auth\LoginRequest.php                                       | PHP        |         51 |         29 |         14 |         94 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Resources\Api\EventResource.php                                      | PHP        |         10 |          6 |          4 |         20 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Mail\Invitacion.php                                                       | PHP        |         31 |         21 |          8 |         60 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Models\Actividad.php                                                      | PHP        |         23 |          0 |          6 |         29 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Models\Ingreso.php                                                        | PHP        |         14 |          0 |          5 |         19 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Models\Miembro.php                                                        | PHP        |          9 |          0 |          4 |         13 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Models\Persona.php                                                        | PHP        |         18 |          5 |          6 |         29 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Models\User.php                                                           | PHP        |         42 |         34 |         10 |         86 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Models\Usuario.php                                                        | PHP        |         10 |          0 |          4 |         14 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Providers\AppServiceProvider.php                                          | PHP        |         14 |         11 |          5 |         30 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Providers\AuthServiceProvider.php                                         | PHP        |         12 |         13 |          6 |         31 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Providers\BroadcastServiceProvider.php                                    | PHP        |         12 |          5 |          5 |         22 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Providers\EventServiceProvider.php                                        | PHP        |         21 |         16 |          6 |         43 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Providers\RouteServiceProvider.php                                        | PHP        |         28 |         17 |          8 |         53 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\Traits\ApiResponder.php                                                   | PHP        |         19 |         16 |          4 |         39 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\View\Components\AppLayout.php                                             | PHP        |         10 |          5 |          4 |         19 |
| d:\Proyectos Laravel\iglesia-microservicio-php\app\View\Components\GuestLayout.php                                           | PHP        |         10 |          5 |          4 |         19 |
| d:\Proyectos Laravel\iglesia-microservicio-php\bootstrap\app.php                                                             | PHP        |         17 |         30 |          9 |         56 |
| d:\Proyectos Laravel\iglesia-microservicio-php\composer.json                                                                 | JSON       |         75 |          0 |          1 |         76 |
| d:\Proyectos Laravel\iglesia-microservicio-php\composer.lock                                                                 | JSON       |      9,914 |          0 |          1 |      9,915 |
| d:\Proyectos Laravel\iglesia-microservicio-php\config\app.php                                                                | PHP        |         50 |        133 |         33 |        216 |
| d:\Proyectos Laravel\iglesia-microservicio-php\config\auth.php                                                               | PHP        |         28 |         70 |         14 |        112 |
| d:\Proyectos Laravel\iglesia-microservicio-php\config\broadcasting.php                                                       | PHP        |         35 |         23 |         13 |         71 |
| d:\Proyectos Laravel\iglesia-microservicio-php\config\cache.php                                                              | PHP        |         58 |         34 |         19 |        111 |
| d:\Proyectos Laravel\iglesia-microservicio-php\config\cors.php                                                               | PHP        |          3 |         29 |          3 |         35 |
| d:\Proyectos Laravel\iglesia-microservicio-php\config\database.php                                                           | PHP        |         83 |         47 |         22 |        152 |
| d:\Proyectos Laravel\iglesia-microservicio-php\config\expo-notifications.php                                                 | PHP        |         22 |          3 |          5 |         30 |
| d:\Proyectos Laravel\iglesia-microservicio-php\config\filesystems.php                                                        | PHP        |         32 |         32 |         13 |         77 |
| d:\Proyectos Laravel\iglesia-microservicio-php\config\hashing.php                                                            | PHP        |         12 |         32 |          9 |         53 |
| d:\Proyectos Laravel\iglesia-microservicio-php\config\image.php                                                              | PHP        |          4 |         12 |          5 |         21 |
| d:\Proyectos Laravel\iglesia-microservicio-php\config\logging.php                                                            | PHP        |         70 |         34 |         19 |        123 |
| d:\Proyectos Laravel\iglesia-microservicio-php\config\mail.php                                                               | PHP        |         53 |         47 |         19 |        119 |
| d:\Proyectos Laravel\iglesia-microservicio-php\config\queue.php                                                              | PHP        |         47 |         32 |         15 |         94 |
| d:\Proyectos Laravel\iglesia-microservicio-php\config\sanctum.php                                                            | PHP        |         15 |         41 |         12 |         68 |
| d:\Proyectos Laravel\iglesia-microservicio-php\config\services.php                                                           | PHP        |         25 |         11 |          6 |         42 |
| d:\Proyectos Laravel\iglesia-microservicio-php\config\session.php                                                            | PHP        |         22 |        147 |         33 |        202 |
| d:\Proyectos Laravel\iglesia-microservicio-php\config\view.php                                                               | PHP        |         10 |         20 |          7 |         37 |
| d:\Proyectos Laravel\iglesia-microservicio-php\database\factories\UserFactory.php                                            | PHP        |         23 |         13 |          5 |         41 |
| d:\Proyectos Laravel\iglesia-microservicio-php\database\migrations\2014_10_12_000000_create_users_table.php                  | PHP        |         34 |         10 |          4 |         48 |
| d:\Proyectos Laravel\iglesia-microservicio-php\database\migrations\2014_10_12_100000_create_password_resets_table.php        | PHP        |         19 |         10 |          4 |         33 |
| d:\Proyectos Laravel\iglesia-microservicio-php\database\migrations\2019_08_19_000000_create_failed_jobs_table.php            | PHP        |         23 |         10 |          4 |         37 |
| d:\Proyectos Laravel\iglesia-microservicio-php\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php | PHP        |         24 |         10 |          4 |         38 |
| d:\Proyectos Laravel\iglesia-microservicio-php\database\seeders\DatabaseSeeder.php                                           | PHP        |        109 |         11 |         19 |        139 |
| d:\Proyectos Laravel\iglesia-microservicio-php\lang\en\auth.php                                                              | PHP        |          6 |         10 |          5 |         21 |
| d:\Proyectos Laravel\iglesia-microservicio-php\lang\en\pagination.php                                                        | PHP        |          5 |         10 |          5 |         20 |
| d:\Proyectos Laravel\iglesia-microservicio-php\lang\en\passwords.php                                                         | PHP        |          8 |         10 |          5 |         23 |
| d:\Proyectos Laravel\iglesia-microservicio-php\lang\en\validation.php                                                        | PHP        |        135 |         30 |          9 |        174 |
| d:\Proyectos Laravel\iglesia-microservicio-php\lang\es.json                                                                  | JSON       |         71 |          0 |          0 |         71 |
| d:\Proyectos Laravel\iglesia-microservicio-php\lang\es\auth.php                                                              | PHP        |          7 |          0 |          3 |         10 |
| d:\Proyectos Laravel\iglesia-microservicio-php\lang\es\http-statuses.php                                                     | PHP        |         82 |          0 |          3 |         85 |
| d:\Proyectos Laravel\iglesia-microservicio-php\lang\es\pagination.php                                                        | PHP        |          6 |          0 |          3 |          9 |
| d:\Proyectos Laravel\iglesia-microservicio-php\lang\es\passwords.php                                                         | PHP        |          9 |          0 |          3 |         12 |
| d:\Proyectos Laravel\iglesia-microservicio-php\lang\es\validation.php                                                        | PHP        |        214 |          0 |          3 |        217 |
| d:\Proyectos Laravel\iglesia-microservicio-php\package-lock.json                                                             | JSON       |      2,557 |          0 |          1 |      2,558 |
| d:\Proyectos Laravel\iglesia-microservicio-php\package.json                                                                  | JSON       |         22 |          0 |          1 |         23 |
| d:\Proyectos Laravel\iglesia-microservicio-php\phpunit.xml                                                                   | XML        |         29 |          2 |          1 |         32 |
| d:\Proyectos Laravel\iglesia-microservicio-php\postcss.config.js                                                             | JavaScript |          6 |          0 |          1 |          7 |
| d:\Proyectos Laravel\iglesia-microservicio-php\public\css\card\card.css                                                      | CSS        |        169 |          8 |          7 |        184 |
| d:\Proyectos Laravel\iglesia-microservicio-php\public\css\noprint.js                                                         | JavaScript |         72 |          4 |         11 |         87 |
| d:\Proyectos Laravel\iglesia-microservicio-php\public\firebase-messaging-sw.js                                               | JavaScript |         24 |          8 |          1 |         33 |
| d:\Proyectos Laravel\iglesia-microservicio-php\public\index.php                                                              | PHP        |         14 |         30 |         12 |         56 |
| d:\Proyectos Laravel\iglesia-microservicio-php\public\js\card\card.js                                                        | JavaScript |          3 |         14 |          0 |         17 |
| d:\Proyectos Laravel\iglesia-microservicio-php\public\js\card\jquery.card.js                                                 | JavaScript |          3 |         14 |          0 |         17 |
| d:\Proyectos Laravel\iglesia-microservicio-php\public\qrcode.svg                                                             | XML        |          2 |          0 |          1 |          3 |
| d:\Proyectos Laravel\iglesia-microservicio-php\resources\css\app.css                                                         | CSS        |          3 |          0 |          1 |          4 |
| d:\Proyectos Laravel\iglesia-microservicio-php\resources\js\app.js                                                           | JavaScript |          4 |          0 |          4 |          8 |
| d:\Proyectos Laravel\iglesia-microservicio-php\resources\js\bootstrap.js                                                     | JavaScript |          5 |         22 |          8 |         35 |
| d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\components\application-logo.blade.php                         | PHP        |          4 |          0 |          2 |          6 |
| d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\components\auth-card.blade.php                                | PHP        |          8 |          0 |          2 |         10 |
| d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\components\auth-session-status.blade.php                      | PHP        |          6 |          0 |          2 |          8 |
| d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\components\auth-validation-errors.blade.php                   | PHP        |         13 |          0 |          3 |         16 |
| d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\components\dropdown-link.blade.php                            | PHP        |          1 |          0 |          1 |          2 |
| d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\components\dropdown.blade.php                                 | PHP        |         39 |          0 |          5 |         44 |
| d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\components\input-label.blade.php                              | PHP        |          4 |          0 |          2 |          6 |
| d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\components\nav-link.blade.php                                 | PHP        |          9 |          0 |          3 |         12 |
| d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\components\primary-button.blade.php                           | PHP        |          3 |          0 |          1 |          4 |
| d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\components\responsive-nav-link.blade.php                      | PHP        |          9 |          0 |          3 |         12 |
| d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\components\text-input.blade.php                               | PHP        |          2 |          0 |          2 |          4 |
| d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\dashboard.blade.php                                           | PHP        |        104 |          0 |         16 |        120 |
| d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\layouts\app.blade.php                                         | PHP        |         43 |          0 |          8 |         51 |
| d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\layouts\guest.blade.php                                       | PHP        |         18 |          0 |          4 |         22 |
| d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\layouts\navigation.blade.php                                  | PHP        |        115 |          0 |         12 |        127 |
| d:\Proyectos Laravel\iglesia-microservicio-php\resources\views\welcome.blade.php                                             | PHP        |         24 |          0 |          6 |         30 |
| d:\Proyectos Laravel\iglesia-microservicio-php\routes\api.php                                                                | PHP        |         52 |         12 |          8 |         72 |
| d:\Proyectos Laravel\iglesia-microservicio-php\routes\auth.php                                                               | PHP        |         41 |          0 |         16 |         57 |
| d:\Proyectos Laravel\iglesia-microservicio-php\routes\channels.php                                                           | PHP        |          5 |         10 |          4 |         19 |
| d:\Proyectos Laravel\iglesia-microservicio-php\routes\console.php                                                            | PHP        |          6 |         10 |          4 |         20 |
| d:\Proyectos Laravel\iglesia-microservicio-php\routes\web.php                                                                | PHP        |         14 |         10 |          6 |         30 |
| d:\Proyectos Laravel\iglesia-microservicio-php\tailwind.config.js                                                            | JavaScript |         16 |          2 |          4 |         22 |
| d:\Proyectos Laravel\iglesia-microservicio-php\tests\CreatesApplication.php                                                  | PHP        |         12 |          5 |          6 |         23 |
| d:\Proyectos Laravel\iglesia-microservicio-php\tests\Feature\Auth\AuthenticationTest.php                                     | PHP        |         34 |          0 |         12 |         46 |
| d:\Proyectos Laravel\iglesia-microservicio-php\tests\Feature\Auth\EmailVerificationTest.php                                  | PHP        |         50 |          0 |         16 |         66 |
| d:\Proyectos Laravel\iglesia-microservicio-php\tests\Feature\Auth\PasswordConfirmationTest.php                               | PHP        |         32 |          0 |         13 |         45 |
| d:\Proyectos Laravel\iglesia-microservicio-php\tests\Feature\Auth\PasswordResetTest.php                                      | PHP        |         50 |          0 |         22 |         72 |
| d:\Proyectos Laravel\iglesia-microservicio-php\tests\Feature\Auth\RegistrationTest.php                                       | PHP        |         25 |          0 |          8 |         33 |
| d:\Proyectos Laravel\iglesia-microservicio-php\tests\Feature\ExampleTest.php                                                 | PHP        |         11 |          6 |          5 |         22 |
| d:\Proyectos Laravel\iglesia-microservicio-php\tests\TestCase.php                                                            | PHP        |          7 |          0 |          4 |         11 |
| d:\Proyectos Laravel\iglesia-microservicio-php\tests\Unit\ExampleTest.php                                                    | PHP        |         10 |          5 |          4 |         19 |
| d:\Proyectos Laravel\iglesia-microservicio-php\vendor\spatie\ignition\resources\compiled\ignition.css                        | CSS        |          1 |          2 |          0 |          3 |
| d:\Proyectos Laravel\iglesia-microservicio-php\vendor\spatie\ignition\resources\compiled\ignition.js                         | JavaScript |          6 |          0 |          1 |          7 |
| d:\Proyectos Laravel\iglesia-microservicio-php\vite.config.js                                                                | JavaScript |         13 |          0 |          2 |         15 |
| Total                                                                                                                        |            |     16,354 |      1,529 |        949 |     18,832 |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
